idiom,meaning,model,response
Soak Up the Sun, To enjoy the sun,llama3.1:8b,Enjoy life to the fullest.
Sold On (Something), Convinced of something,llama3.1:8b,Convinced of its merits.
Some Eggs, Achieving a major goal requires the ability to tolerate some problems,llama3.1:8b,"""None of your business"""
Someone�s Fingerprints Are All Over (Something), Someone�s influence is evident,llama3.1:8b,"This idiom translates to:

""Every aspect of it is obvious; no attempt has been made to conceal one's involvement."""
Something to Crow," About Something to be proud of, an accomplishment about which one is justified in bragging",llama3.1:8b,A reason to brag.
Son of a Gun, 1) A rogue. 2) An exclamation of surprise.,llama3.1:8b,Exasperating person.
Sore Point, A sensitive topic for a particular person,llama3.1:8b,"A sensitive issue. 

Translation: A source of ongoing irritation or annoyance."
Sour Grapes, Disparagement of something that has proven unattainable,llama3.1:8b,To resentfully speak ill of someone else's good fortune.
Sour Grapes, Spiteful disparagment of a goal one has failed to achieve,llama3.1:8b,To resentfully speak ill of someone else's good fortune.
Spare The Rod And Spoil The Child, It is necessary to physically punish children in order to raise them right.,llama3.1:8b,"The translation of this idiom is:

""Be lenient with children and they will become spoiled."""
Speak of the Devil (and He Shall Appear), The person we have just been talking about has entered.,llama3.1:8b,The devil is at your door.
Speak with A Plum in (one�s) Mouth, To speak in a manner that is indicative of a high social class.,llama3.1:8b,To have one's foot in one's mouth.
Spick and Span, Clean and neat,llama3.1:8b,Clean and tidy.
Spill the Beans, Reveal a secret,llama3.1:8b,To reveal a secret or surprise prematurely.
Spin A Yarn, Tell a story,llama3.1:8b,To talk at length in an entertaining but often untruthful way.
Spin One�s Wheels, Engaging in activity that yields no progress; getting nowhere,llama3.1:8b,To waste time or effort on something that is not productive.
Spit into The Wind, Wasting time on something futile,llama3.1:8b,To Waste One's Breath
Spoiling for a Fight," Combative, wanting conflict, eager to argue or fight",llama3.1:8b,Looking for trouble.
Spoiling for a Fight," Combative, wanting conflict, eager to argue or fight",llama3.1:8b,Looking for trouble.
Square the Circle, Attempt an impossible task,llama3.1:8b,"Impossible task.

(This idiom refers to a geometric problem that cannot be solved, as it involves simultaneously satisfying two contradictory conditions. In this case, ""squaring"" implies making something square in shape, while ""circling"" implies making something circular in shape.)"
Stab Someone in the Back, To betray (somebody),llama3.1:8b,Betrayal from behind.
Stalking Horse, Someone who tests a concept in advance of its application; a candidate who enters a political race in order to test the strength of the incumbent,llama3.1:8b,"A stalking horse is a bidder in an auction who makes a preliminary bid to establish a minimum price for the item being sold. The term is often used in bankruptcy auctions where it refers to a company that submits a bid to purchase assets of another company, thereby setting a floor for other potential bidders."
Stand (Someone) In Good Stead, Be useful in the future,llama3.1:8b,"""Defend/Support them unconditionally."""
Stand On One�s Own Two Feet, To be independent and self-sufficient,llama3.1:8b,Be independent.
Stand One�s Ground, Refuse to back down; insist on one�s position,llama3.1:8b,To refuse to give in or back down.
Start with a Clean Slate, To start (something) again with a fresh beginning; to work on a problem without thinking about what has been done before,llama3.1:8b,A fresh beginning.
Steal Someone�s Thunder, Upstage someone,llama3.1:8b,To upstage someone.
Stem the Tide," To stop or control the growth of something, usually something unpleasant.",llama3.1:8b,To stop something from getting worse or to prevent it from happening.
Step Up One�s Game, Work to advance to a higher level of a competition,llama3.1:8b,Improve one's performance.
Step Up to the Plate," Prepare to take action, be the person in a group who takes action",llama3.1:8b,Take responsibility.
Stick It to the Man, Do something that frustrates those in authority,llama3.1:8b,To defy authority or challenge the establishment.
Stick Your Nose into Something, Intrude into something that is not your affair,llama3.1:8b,Interfere in someone else's business.
Sticker Shock, Surprise at the high price of something,llama3.1:8b,Price sticker shock.
Stick-in-the-Mud, A person who dislikes or adapts slowly to new ideas,llama3.1:8b,A person who is stubbornly conventional and unwilling to take risks or try new things.
Sticky Wicket," A difficult, tricky situation",llama3.1:8b,A delicate situation.
Stiff-Necked, Stubborn; excessively formal,llama3.1:8b,Stubborn.
Storm in a Teacup," A commotion that dies down quickly, about something unimportant",llama3.1:8b,A fuss over nothing.
Stormy Relationship, Relationship that has a lot arguments and disagreement,llama3.1:8b,Turbulent Romance
Stumbling Block," An obstacle, physical or abstract",llama3.1:8b,Obstacle.
Straight Arrow," An honest, trustworthy person",llama3.1:8b,"A straight arrow is someone who is honest and straightforward in their dealings. 

Translation: A truthful person."
Strain at a Gnat and Swallow a Camel, To make a fuss over something unimportant while ignoring larger issues,llama3.1:8b,To be overly concerned with small matters while ignoring major ones.
Strike A Chord," Used to describe something that is familiar to you, reminds you of something or is connected to you somehow.",llama3.1:8b,To resonate emotionally with someone.
Sugar Daddy, A rich man who is generous with younger women in return for sexual favors,llama3.1:8b,"A wealthy man who supports a younger person financially, often in exchange for romantic or sexual favors."
Sure-Fire, Certain to occur,llama3.1:8b,Certain to succeed.
Swan Song, A final appearance,llama3.1:8b,A final performance or achievement before retirement or decline.
Swan Song, This expression is used to describe a final act before dying or ending something.,llama3.1:8b,A final performance or achievement before retirement or decline.
Sweep Under the Carpet, Attempt to temporarily conceal a problem or error,llama3.1:8b,Conceal or hide something unpleasant.
Sweep Under the Rug, Attempt to temporarily conceal a problem or error,llama3.1:8b,Conceal or ignore a problem.
Sweet Dreams!, Sleep well!,llama3.1:8b,"""Sleep tight!"""
Sweeten the Deal, Add something to an offer during a negotiation,llama3.1:8b,Make it more attractive.
Sweeten the Pot," Increase the amount of winnings potentially available in a game of chance, especially poker",llama3.1:8b,To make an offer more attractive by adding something extra.
Swim Against the Tide, Do something contrary to a trend or usual opinion,llama3.1:8b,Go against the majority.
Swim with Sharks, To take a major risk,llama3.1:8b,Navigating treacherous waters.
Swim with the Fishes," Have been killed, especially with involvement of organized crime",llama3.1:8b,"""Meet one's maker"""
Swing for the Fences, Attempt to achieve the largest accomplishment possible,llama3.1:8b,To take bold risks in pursuit of something ambitious.
Swing for the Fences, Attempt to achieve the largest accomplishment possible,llama3.1:8b,Take bold risks.
Sword of Damocles, Something that causes a feeling of constant threat.,llama3.1:8b,A constant threat or danger hanging over one's head.
Take (Someone) to the Cleaners, 1) Swindle; 2) defeat badly,llama3.1:8b,To thoroughly deceive or cheat someone.
Take a Deep Dive (Into), Explore something extensively,llama3.1:8b,To delve thoroughly into something.
Take a Flyer, To take a rise; especially to make a speculative investment,llama3.1:8b,To take a flyer means to fail or be unsuccessful.
Take a Gander, Go to take a look at something,llama3.1:8b,To take a look.
Take a Hike, Go away,llama3.1:8b,To leave; to go away.
Take A Powder," To leave, especially in order to avoid a difficult situation",llama3.1:8b,To leave suddenly.
Take a Rain Check, Decline an invitation but suggest that you�ll accept it at a later time.,llama3.1:8b,To postpone or delay an activity until another time.
Take Five (Ten), Take a short break of five (ten) minutes,llama3.1:8b,A break or time off.
Take Five, To take one brief (about five minutes) rest period,llama3.1:8b,A break or time out.
Take It Easy," 1) Relax, rest; 2) (as a command) Calm down!",llama3.1:8b,Relax.
Take It Easy, Don�t hurry; relax; don�t get angry,llama3.1:8b,Relax.
Take It Easy," When you relax, or do things at a comfortable pace, you take it easy.",llama3.1:8b,Relax.
Take It on The Chin, Be attacked; suffer an attack,llama3.1:8b,To take it on the chin means to accept criticism or a difficult situation calmly and without complaint.
Take It or Leave It (command), You must decide now whether you will accept this proposal,llama3.1:8b,"This idiom translates to:

""Accept it as offered or reject it entirely."""
Take Someone to Task, Reprimand someone strongly,llama3.1:8b,To scold or criticize someone severely.
Take Something with a Pinch (grain) of Salt," If you take what someone says with a pinch of salt, you do not completely believe it.",llama3.1:8b,Be cautious in your judgment.
Take the Cake, Be the most extreme instance,llama3.1:8b,To have it all; to be completely successful.
Take the Edge Off (of Something), To slightly improve something negative,llama3.1:8b,Mellow it out.
Take the Fifth, Refuse to answer because answering might incriminate or cause problems for you,llama3.1:8b,To invoke one's right to remain silent under oath.
Take the Gloves Off, Negotiate in a more aggressive way,llama3.1:8b,To fight dirty.
Take the High Road, Refuse to descend to immoral activities or personal attacks,llama3.1:8b,"To take the high road means to choose the more noble, moral, or virtuous path in a difficult situation."
Take The Mickey (Piss) (Out Of Someone), Make fun of or ridicule someone,llama3.1:8b,To mock or tease someone mercilessly.
Take the Shine Off (Something), To do something that diminishes a positive event,llama3.1:8b,Diminish someone's enthusiasm or interest.
Take the Starch out of (Someone), Make someone less confident or less arrogant,llama3.1:8b,To take the starch out of someone means to deflate their ego or pride.
Take The Wind Out of Someone�s Sails," To reduce someone�s confidence, ofte by doing something unexpected",llama3.1:8b,Dishearten someone.
Take Your Life in Your Hands, Undergo extreme risk,llama3.1:8b,To be at one's own mercy.
Take Your Medicine," Accept something unpleasant, for example, punishment, without protesting or complaining",llama3.1:8b,"To ""take your medicine"" is an English idiom that translates to:

""Suffer the consequences of your actions."""
Take Your Time," Don�t hurry, work at a relaxed pace",llama3.1:8b,Don't rush.
Taste of Your Own Medicine, The same unpleasant experience or treatment that one has given to others,llama3.1:8b,Getting what's coming to you.
Teach an Old Dog New Tricks, To change someone�s long-established habits. Usually used in the negative; You can�t teach an old dog new tricks.,llama3.1:8b,Someone who is experienced can still learn new things.
Tear One�s Hair out, Be extremely worried or frustrated,llama3.1:8b,To be at one's wit's end.
Tear-Jerker, A film or book that makes you cry,llama3.1:8b,A film that makes you cry.
Tee Many Martoonies," Too many martinis, scrambled to suggest drunkenness",llama3.1:8b,"A classic Scottish idiom!

The translation is:

""A million monkeys"""
Tell It to the Marines, I don�t believe you; you must think I�m gullible.,llama3.1:8b,"To be honest with someone, no matter how difficult it may be."
Tempest in a Teapot, A commotion about something unimportant,llama3.1:8b,A storm in a teacup.
Ten a Penny," Ordinary, inexpensive",llama3.1:8b,A penny saved is ten pennies earned.
Ten to One, Something very likely,llama3.1:8b,"""Long shot"""
Test the Waters, Experiment with something cautiously,llama3.1:8b,To gauge public opinion or reaction before making a decision.
Test the Waters, Try something out in a preliminary way,llama3.1:8b,To gauge public opinion or reaction before making a decision.
Tie the Knot, Get married,llama3.1:8b,To get married.
Tighten the Screws, Increase pressure on someone,llama3.1:8b,To increase pressure or difficulty.
Tight-Lipped," secretive, unwilling to explain something",llama3.1:8b,Silent as a clam.
Til the Cows Come Home, For a very long time,llama3.1:8b,A long time.
Time is Money," time is valuable, so don�t waste it.",llama3.1:8b,Wasting time is wasting money.
Tip of the Iceberg," A small, visible part of a much larger problem",llama3.1:8b,"The tip of the iceberg.

Translation: Only a small part of a much larger problem or situation."
Tip One�s Hand, Reveal one�s advantages; reveal useful information that one possesses,llama3.1:8b,Reveal one's strategy or intentions.
TLC, Tender Loving Care,llama3.1:8b,"""Love, care, and attention."""
To be A Peach," Someone or something that is extremely good, impressive, or attractive",llama3.1:8b,"A lovely idiom!

The translation is:

""To be a perfect person"""
To be Smitten With Someone, To be completely captivated by someone and feel immense joy,llama3.1:8b,To be utterly infatuated with someone.
To be someone�s One and Only, To be unique to the other person,llama3.1:8b,To be their sole love or priority.
To be the Apple of Someone�s Eye, To be loved and treasured by someone,llama3.1:8b,"The most concise and accurate translation is:

""To be the center of someone's attention and affection"""
To Bear Fruit, To develop in a profitable or positive way,llama3.1:8b,To be productive and successful.
To Bear Fruit, To develop in a profitable or positive way,llama3.1:8b,To be productive and successful.
To Carpool, To travel to the same place with a group of people in one car. e.g. work/school,llama3.1:8b,Ride-share.
To Each His Own, People have different tastes.,llama3.1:8b,"""Live and let live."""
To Get Cold Feet, To experience reluctance or fear,llama3.1:8b,To have second thoughts.
To Have a Chip on One�s Shoulder," To be combative, to be consistently argumentative",llama3.1:8b,To bear a grudge.
To Have Butterflies In Your Stomach, To be nervous,llama3.1:8b,Nervous excitement.
To Have One For the Road, To have one last (alcoholic) drink before you go home,llama3.1:8b,Having one more drink before driving home.
To Pay an Arm and a Leg, A very high cost,llama3.1:8b,Expensive.
To Pop (one�s) Cherry, To do something for the first time,llama3.1:8b,To lose one's virginity.
To Pull Someone�s Leg, Lie playfully,llama3.1:8b,To tease or joke with someone in a playful way.
To Run Hot and Cold, To be unable to make up one�s mind,llama3.1:8b,"This idiom translates to:

""To be inconsistent"""
To the Letter, Exactly (said of instructions or procedures),llama3.1:8b,Precisely as written.
Toe the Line," Accept authority, follow the rules",llama3.1:8b,To conform to expectations or rules; to behave in a way that is considered acceptable.
Tone-Deaf," Not good at perceiving the impact of one�s words, insensitive",llama3.1:8b,Lacking sensitivity or awareness in one's perceptions or emotions.
Tongue-in-Cheek, Said ironically; not meant to be taken seriously,llama3.1:8b,Sarcastically.
Too Busy Fighting Alligators to Drain the Swamp, So occupied with multiple challenges that one can�t keep the big picture in mind,llama3.1:8b,Stuck in the details.
Too Many Cooks Spoil the Broth, A project works best if there is input from a limited number of people,llama3.1:8b,Excessive involvement can lead to chaos.
Too Many Chiefs and Not Enough Indians," Everyone wants to be a leader, and no one wants to do the actual work",llama3.1:8b,"Overabundance of leaders, lack of followers."
Too Many To Shake A Stick At, A large number,llama3.1:8b,There are too many to count.
Toot Your Own Horn, Brag; emphasize one�s own contributions,llama3.1:8b,"""Boast about your own achievements."""
Top Banana," The boss, the leader",llama3.1:8b,Star of the show.
Toss a Wrench (Spanner) Into, Sabotage; cause a process to stop,llama3.1:8b,Throw a monkey wrench into.
Touch Base, Meet briefly with someone,llama3.1:8b,To briefly meet or communicate with someone.
Touch One�s Heart," Affect someone emotionally, be touching",llama3.1:8b,Moved to Tears
Touch Water, Be launched. Said of a boat.,llama3.1:8b,To have a taste of something.
Tough Cookie, A very determined person,llama3.1:8b,"A tough cookie is someone who is:

""Rough around the edges but has a soft center."""
Tough Cookie, Someone who can endure hardship; especially; a strong negotiator,llama3.1:8b,"A tough cookie is someone who is:

""Rough around the edges but has a soft center."""
Tough Sledding, Difficult progress,llama3.1:8b,Having a difficult time.
Turn a Blind Eye, (to) Choose not to notice something,llama3.1:8b,To deliberately ignore or overlook something that is wrong or unacceptable.
Turn on a Dime, Quickly reverse direction or position,llama3.1:8b,To change direction quickly.
Turn Someone Inside Out, To cause strong emotional turmoil; to completely change someone,llama3.1:8b,To utterly humiliate or embarrass someone.
Turn Something on Its Head," Reverse something, cause something to be done in a new way",llama3.1:8b,To completely reverse or upset one's expectations.
Turn Turtle," Capsize, turn over",llama3.1:8b,To retreat in disarray.
Turn the Corner, To begin to improve after a problem,llama3.1:8b,To make a fresh start.
Turn the Tables, Reverse a situation,llama3.1:8b,"To reverse a situation, often to gain an advantage over someone who had previously held one."
Turnabout Is Fair Play," If you suffer from the same suffering you have inflicted on others, that�s only fair",llama3.1:8b,Retaliation is fair.
Twenty-Four Seven, At any time,llama3.1:8b,Around-the-Clock.
Twist the Knife (in Deeper), Make someone�s suffering worse,llama3.1:8b,To add insult to injury.
Twist the Knife (in Deeper), Make someone�s suffering worse,llama3.1:8b,To add insult to injury.
Two a Penny," Ordinary, inexpensive",llama3.1:8b,Common as dirt.
Two Peas in A Pod, Two people who are very similar in appearance,llama3.1:8b,Similar people or things.
Thank God It�s Friday (TGIF), Let�s be happy that the workweek is over!,llama3.1:8b,"The idiomatic translation is:

""Finally, it's almost over."""
That Ship Has Sailed, That opportunity has passed.,llama3.1:8b,Lost opportunity; too late.
That�s Music to My Ears, I am very happy to hear this.,llama3.1:8b,A pleasant surprise.
That�s a Stretch, What you are suggesting is very difficult to believe; I am very skeptical,llama3.1:8b,"""That's a stretch"" translates to:

""That's an exaggeration""

or more colloquially:

""That's not true"""
That�s All She Wrote, That was the end of the story.,llama3.1:8b,"The idiomatic expression ""That's all she wrote"" translates to:

""That was her last contribution/achievement.""

(Note: This phrase is often used humorously or ironically to indicate that someone has accomplished something significant, and it will be their final achievement.)"
The Apple Never Falls Far From the Tree, Family characteristics are usually inherited,llama3.1:8b,"Translation: ""Children often resemble their parents in character."""
The Birds and the Bees, Human sexuality and reproduction,llama3.1:8b,"""Sex education for children"""
The Cat Is Out of the Bag, The secret has been revealed.,llama3.1:8b,A secret is out.
The Coast Is Clear, We are unobserved; it is safe to proceed.,llama3.1:8b,It's safe to proceed.
The Cherry On the Cake, The final thing that makes something perfect,llama3.1:8b,The cherry on top of the cake.
The Deck Is (The Cards Are), Stacked Against You Unfavorable conditions exist.,llama3.1:8b,"""Everything is predetermined."""
The Jig Is Up, A secret illicit activity has been exposed; your trickery is finished,llama3.1:8b,"The jig is up.

Translation: The deception or trick has been discovered."
"The More Things Change, The More They Stay The Same"," Although something may seem superficially new, it has not altered the basic situation.",llama3.1:8b,"Despite significant changes, things remain essentially unchanged."
The Only Game in Town, The sole option for a particular service.,llama3.1:8b,"The best translation of this idiom is:

""The sole option available"""
The Powers That Be," People in charge, often used when the speaker does not want to identify them.",llama3.1:8b,Those in authority.
The Real McCoy, A genuine item,llama3.1:8b,The genuine article.
The Story Has Legs, People are continuing to pay attention to the story.,llama3.1:8b,"This idiom translates to:

""It's gaining momentum"""
The Time is Ripe," If you say that the time is ripe, you mean that it is a suitable point for a particular activity",llama3.1:8b,"The translation of this idiom is:

""The moment is opportune."""
The Walls Have Ears We, may be overheard; be careful what you say,llama3.1:8b,"""Everyone has an ear to the ground."""
The Walls Have Ears, We may be overheard; be careful what you say,llama3.1:8b,"""Surveillance is widespread."""
The Whole Enchilada, All of something.,llama3.1:8b,The whole shebang.
The Whole Shebang," Everything, all the parts of something",llama3.1:8b,Everything; the entire situation.
The World Is Your Oyster, You have many opportunities and choices.,llama3.1:8b,"""Opportunities are limitless."""
There But For The Grace Of God Go I, I could easily have done what that person did.,llama3.1:8b,"""Any of us could have been in that situation."""
There�s More Than One Way to Skin a Cat, There�s more than one way of achieving a certain goal.,llama3.1:8b,There are many ways to achieve a goal.
There�s No Such Thing as a Free Lunch, Nothing is given to you without some expectation of something in return.,llama3.1:8b,"Translation: ""Nothing in life is free."""
Thin On The Ground," Rare, seldom encountered",llama3.1:8b,Rare or scarce.
Think Big, Consider ambitious plans; avoid becoming overly concerned with details,llama3.1:8b,To have ambition and high aspirations.
Think Outside the Box, Try to solve a problem in an original way; think creatively,llama3.1:8b,Creative Solution
Think Tank, A group of experts engaged in ongoing studies of a particular subject; a policy study group,llama3.1:8b,A group of people who think critically and creatively to develop innovative solutions to complex problems.
Think Tank, A group of experts engaged in ongoing studies of a particular subject; a policy study group,llama3.1:8b,A group of people who think critically and creatively to develop innovative solutions to complex problems.
Third Rail, A topic so sensitive that it is dangerous to raise. This is especially used in political contexts,llama3.1:8b,"""Touching a raw nerve."""
Third Time�s a Charm," Even if you fail at something twice, you may well succeed the third time.",llama3.1:8b,A lucky third attempt is successful.
Thirty-Thousand-Foot View, A very broad or general perspective,llama3.1:8b,A broad perspective.
This Has (Person X) Written All Over It, [Person X] would really like or be well suited to this.,llama3.1:8b,Written all over it.
This Is Not Your Father�s ____, This item has been much updated from its earlier versions.,llama3.1:8b,"This is an American advertising slogan that translates to:

""This is not your grandfather's [product/brand]""

(Note: ""Father"" and ""grandfather"" are used interchangeably in this context, with the same meaning)"
Three Sheets to the Wind, Very drunk,llama3.1:8b,Drunk.
Through the Grapevine, Via gossip,llama3.1:8b,Rumors are circulating.
Through Thick and Thin, In good times and bad,llama3.1:8b,Through good times and bad.
Throw a Wet Blanket on (Something), Discourage plans for something,llama3.1:8b,Dampen someone's enthusiasm.
Throw a Wrench Into, To sabotage; to cause to fail,llama3.1:8b,Complicate a situation.
Throw Caution to the Wind," To act in a daring way, without forethough",llama3.1:8b,Take risks freely.
Throw Down the Gauntlet, To issue a challenge,llama3.1:8b,Challenge someone to a fight or competition.
Throw Elbows, Be combative; be aggressive (physically or figuratively),llama3.1:8b,To throw elbows means to fight aggressively.
Throw in the Towel," To give up, admit defeat",llama3.1:8b,To admit defeat or surrender.
Throw Someone for a Loop, Deeply surprise someone; catch someone off guard,llama3.1:8b,Surprise someone completely.
Throw Someone Under the Bus, Sacrifice someone else�s interests for your own personal gain,llama3.1:8b,To blame someone else for one's own mistakes.
Throw the Baby Out with the Bath Water, Eliminate something good while discarding the bad parts of something,llama3.1:8b,Discard something valuable in the process of getting rid of something unwanted.
Throw the Baby Out with the Bath Water, To discard something valuable or important while disposing of something worthless,llama3.1:8b,Discard something valuable in the process of getting rid of something unwanted.
Throw The Book At, Prosecute legally as strongly as possible,llama3.1:8b,To punish someone severely.
Throw the Fight," Intentionally lose a contest, usually in collusion with gamblers",llama3.1:8b,To intentionally lose a competition or contest.
Throw the Game," Intentionally lose a contest, usually in collusion with gamblers",llama3.1:8b,To intentionally lose or give up on something.
Throw the Match," Intentionally lose a contest, usually in collusion with gamblers",llama3.1:8b,To ignite a fire.
Thumbs-Up, Approval,llama3.1:8b,Approval.
Train Wreck, Anything that develops in a disastrous way,llama3.1:8b,"A train wreck is equivalent to ""a disaster"" or ""a complete mess""."
Trash Talk, Insults directed at one�s opponent in a sporting event or contest,llama3.1:8b,Verbal sparring.
Tread Water, Maintain a current situation without improvement or decline,llama3.1:8b,Stay afloat.
Trial Balloon, A test of someone�s or the public�s reaction,llama3.1:8b,Test the waters.
Trip the Light Fantastic, Dance well; do ballroom dancing,llama3.1:8b,Dance with reckless abandon.
U Turn," A complete change of opinion, direction, etc.",llama3.1:8b,A 180-degree change in direction.
Ugly Duckling, An awkward child or young person who grows into a beautiful person,llama3.1:8b,Outcast.
Under (Below) the Radar," Not generally perceived, below popular consciousness",llama3.1:8b,"Out of sight, out of mind."
Under Someone�s Spell," Fascinated, entranced by someone",llama3.1:8b,Enchanted by someone.
Under the Impression," Believing something, perhaps mistakenly",llama3.1:8b,Under the illusion.
Under the Table, Without being officially recorded,llama3.1:8b,Off the record.
Under the Weather, Feeling ill,llama3.1:8b,Feeling down.
Under the Weather, Not feeling well,llama3.1:8b,Feeling down.
Under Wraps," Temporarily hidden, secret",llama3.1:8b,Secretly.
University of Life," Difficult real-life experience, as opposed to formal education",llama3.1:8b,The School of Hard Knocks.
Until the Cows Come Home, For a long time,llama3.1:8b,A long time; forever.
Until You�re Blue in the Face, For a long time with no results,llama3.1:8b,"""Until you're sick of hearing it."""
Up a Creek, In a very bad situation,llama3.1:8b,In trouble.
Up for Grabs, Available,llama3.1:8b,Available to be won or obtained.
Up for Grabs, Available for anyone,llama3.1:8b,Available to be won or obtained.
Up in Arms," Angry, protesting (usually said of a group)",llama3.1:8b,Protesting vigorously.
Up in the Air, Not yet decided,llama3.1:8b,In limbo.
Up to One�s Neck, Nearly overwhelmed,llama3.1:8b,In over one's head.
Up to Scratch, Meeting a basic standard of competence or quality,llama3.1:8b,Good enough.
Up to Snuff, Meeting a basic standard,llama3.1:8b,Good enough.
Up the Ante, Raise the stakes; increase the importance of something under discussion,llama3.1:8b,To increase the stakes.
Up the Duff, Pregnant,llama3.1:8b,Pregnant.
Upset the Apple Cart," To disorganize or spoil something, especially an established arrangement or plan",llama3.1:8b,To disrupt or upset someone's plans or arrangements.
Use One�s Head," To think, to have common sense",llama3.1:8b,Think clearly.
Vale of Tears," The world in general, envisioned as a sad place; the tribulations of life",llama3.1:8b,A Valley of Sorrow.
Vicious Circle, A situation in which an attempt to solve a problem makes the original problem worse.,llama3.1:8b,A self-perpetuating cycle of problems.
Victory Lap, Visible public appearances after a victory or accomplishment,llama3.1:8b,A celebratory lap around a track after winning a competition.
Virgin Territory," Something that has never been explored, physically or intellectually",llama3.1:8b,Untouched land.
Vote with One�s Feet, To physically depart from something as a way of showing disapproval,llama3.1:8b,"""Leave in protest"""
Waiting in the Wings," Ready to assume responsibilities but not yet active, ready to become a successor",llama3.1:8b,Ready to take action at a moment's notice.
Waka-Jumping, Change political parties (said of politicians themselves),llama3.1:8b,"""Defection""

(In Japanese politics, ""waka-jumping"" refers to politicians who switch parties mid-term, often for personal gain.)"
Wake Up and Smell the Coffee, Stop deluding yourself,llama3.1:8b,"""Get real"""
Wake Up on the Wrong Side of the Bed, Be grumpy or ill-humored. Generally used in past tense,llama3.1:8b,To be in a bad mood.
Walk on Eggshells, To have to act very sensitively in order to avoid offending someone,llama3.1:8b,Be extremely careful not to offend or upset someone.
Walk the Plank, Be forced to resign a position,llama3.1:8b,"To be ""walked the plank"" means to be forced to take a risk or face a difficult situation, often with no clear way out. It is an idiomatic expression that originated from the practice of pirates forcing their enemies to walk off the edge of a ship's plank into the water below."
Wandering Eye, A tendency to look at and desire women or men other than one�s committed romantic partner,llama3.1:8b,Restless eye.
Wandering Eye, A tendency to look at and desire women or men other than one�s committed romantic partner,llama3.1:8b,Restless eye.
Wash Your Hands of (Something), Decline to take further responsibility; refuse to be involved with something anymore,llama3.1:8b,To disassociate oneself from something; to have no further involvement with it.
Water Under the Bridge, Something in the past that�s no longer worth worrying about,llama3.1:8b,"""Already forgotten or forgiven."""
Watering Hole," A place where alcoholic beverages are served, a bar",llama3.1:8b,A casual gathering place where people often stop to socialize.
Weekend Warrior, Someone who has an office job but enjoys contact sports on weekends; a member of a military reserve force (whose exercises are typically on weekends),llama3.1:8b,"Someone who enjoys outdoor activities such as hiking, biking, or sports on their days off."
We�ll Cross That Bridge, When We Come to It We�ll deal with that problem if and when it comes up,llama3.1:8b,When we get to it.
Welsh (Welch) on a Deal, Not observe the terms of an agreement,llama3.1:8b,"A ""Welshman on a deal"" is an idiomatic expression that translates to:

""A Welshman on a horse""

However, I believe you meant the phrase ""Welsh on a deal"", which is likely a play on words with the more common idiom ""Welsh on a bet"". 

In this case, the translation would be:

To welch (or welsh) on a deal means to default or renege on an agreement."
Wet Behind the Ears," inexperienced, immature, new to something",llama3.1:8b,Naive.
Wet Behind the Ears," Inexperienced, immature, new to something",llama3.1:8b,Naive.
Wet Blanket, Someone who dampens a festive occasion,llama3.1:8b,Party Pooper.
Wet Your Whistle, Drink something,llama3.1:8b,Take a drink.
What Do You Make of (Him)?, What is your evaluation of this person?,llama3.1:8b,"A common idiomatic expression!

This phrase translates to:

""What do you think of him?""

or more informally,

""Who do you think he is?"""
What Goes Around Comes Around, The kind of treatment you give to others will eventually return to you; things go in cycles,llama3.1:8b,"The most concise and accurate translation of this idiom is:

""Karma will catch up with you."""
What�s Good for the Goose Is Good for the Gander," What�s OK for a man is OK for a woman, too",llama3.1:8b,Fair is fair.
When Hell Freezes Over, Never,llama3.1:8b,"This idiom translates to:

""When it gets extremely cold"""
"When In Doubt, Leave It Out"," When unsure about something, omit it.",llama3.1:8b,"If in doubt, omit it."
"When in Rome, Do as the Romans Do"," When you visit a new place, follow the customs of the people there",llama3.1:8b,To adapt to local customs.
"When It Rains, It Pours", Problems tend to come in groups.,llama3.1:8b,Multiple problems occur at the same time.
When Pigs Fly, Never,llama3.1:8b,"This idiom translates to:

""When pigs have wings"" (meaning something is extremely unlikely to happen)"
When the Chips Are Down, When a situation becomes urgent or difficult,llama3.1:8b,When it really matters.
Where (When) the Rubber, Meets the Road In reality; where an idea meets a real-world test,llama3.1:8b,Meets the Road.
"Where There�s a Will, There�s a Way"," If you have a strong desire to accomplish something, you will achieve it even in the face of considerable odds.",llama3.1:8b,Determination will find a solution.
"Where There�s Smoke, There�s Fire"," If there is typical evidence of something, the most likely explanation is that it is actually occurring.",llama3.1:8b,There must be some truth to what's being said.
Whisper Sweet Nothings (in Someone�s Ear), Speak meaningless romantic utterances,llama3.1:8b,Flatter someone.
Whistle in the Dark, To be unrealistically confident or brave; to talk about something of which one has little knowledge,llama3.1:8b,To make a desperate attempt to escape from a hopeless situation.
Whistle Past the Graveyard, Remain optimistic despite dangers; be clueless,llama3.1:8b,To ignore a problem or danger that is obvious to others.
Whistling Dixie, Being unrealistically optimistic,llama3.1:8b,Talking nonsense.
White Elephant, An unwanted item that is difficult to sell or dispose of,llama3.1:8b,"A gift that is of little value or usefulness, but given with great enthusiasm."
"Who�s She, the Cat�s Mother?", Why does she have such a high opinion of herself?,llama3.1:8b,"A classic British idiom!

This translates to: ""Who's anyone?"" (meaning ""who cares"" or ""who's bothered"")"
Wild Goose Chase, An impossible or futile search or task,llama3.1:8b,A futile pursuit of something that is elusive or nonexistent.
